track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4y7x4K88Ba0GjOLkrtmcHi,Para Lang Sa'Yo,0GnuCXvnvVtX5DShryuyp9,Aiza Seguerra,5k7aWTsQLspOM6FgbtV4Xr,234560,2009-03-04,0,0.552,0.154,0,-13.662,1,0.0388,0.916,0.0,0.0845,0.352,143.671,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
1Xr4t4Ze6gfuzY1Yb4bP3z,So Slow,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,276253,2004-11-06,0,0.452,0.367,0,-7.803,1,0.0512,0.539,0.0,0.0989,0.401,74.092,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
5QFbkROMz078wYoD4Km6gv,Half Crazy,3JITwr6Xwkz8p6cm9leNUh,Side A & Freestyle,5m3Qj30Vp2BKZVGzBFxCyD,265013,2004-11-06,0,0.438,0.397,6,-8.071,1,0.0395,0.462,0.0,0.441,0.201,129.883,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
3OqEQ9BVJZ5Oh1xAnLONwz,Got To Believe In Magic,6RCzroRHFJtTJ6GsNSH1Sl,Side A,5APiGRl7U7P7UxQPsIfTkX,235775,2002,0,0.575,0.495,10,-9.915,1,0.034,0.647,4.11e-06,0.0911,0.194,140.077,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
2K841DlL5XlwKcKOuJBU3Z,Heart of Mine,6ty99gP6NrhgCOkMF2ONpy,Janno Gibbs,0fKASh4urktCpqdmXkHTvV,259186,2013-09-03,24,0.561,0.278,0,-13.006,1,0.0317,0.823,0.0,0.276,0.223,121.805,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
278zaB1xhSLzVddYvSIAZ8,Moments of Love,6ty99gP6NrhgCOkMF2ONpy,Janno Gibbs,0fKASh4urktCpqdmXkHTvV,240480,2013-09-03,20,0.371,0.224,0,-12.206,1,0.0298,0.857,1.37e-06,0.0919,0.199,99.678,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
3k9aCtpxvj7ddxT7QDhc1n,I Still Believe In Loving You,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,3YmI8aIIZzWhWGrONKiw6a,274813,2006-07-20,0,0.469,0.38,8,-9.521,1,0.0292,0.752,0.0,0.108,0.207,123.54,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
5kRm8tLrwaAAQcQ5CEkLGy,Sino Nga Ba Siya,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,7s3Hfla5Ea8eIiMmCjjGSf,226773,2011-05-13,0,0.634,0.4,5,-7.177,1,0.03,0.794,0.0,0.0722,0.29,120.0,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
1C3wg8sCIPqpNQx0wAL4DC,The Way You Look at Me,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,0qEwvzXNVsPFK7eftFej7Q,207786,2004-03-25,61,0.485,0.29,1,-8.444,1,0.0321,0.817,0.0,0.111,0.333,134.168,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
3RYpfzRDiCTPESz7yBLT0e,Colour Everywhere,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,0qEwvzXNVsPFK7eftFej7Q,253173,2004-03-25,47,0.73,0.433,3,-8.335,0,0.0316,0.73,0.0,0.128,0.44,125.862,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
1gFCY09PA7I1iupBZhNMO6,Hands to Heaven,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,0qEwvzXNVsPFK7eftFej7Q,247466,2004-03-25,40,0.586,0.249,2,-8.175,1,0.0269,0.828,0.0,0.0883,0.296,129.893,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
4ANy8ZgTdH52v0XFVUr53q,Beautiful In my Eyes,3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,3zALW7KAxA4CXebeNM9sQD,245890,2009-09-29,0,0.617,0.463,4,-9.039,1,0.026,0.0398,4.02e-05,0.14,0.445,141.954,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
78ibKG32i2gfwwBr17QWyr,If You Asked Me To,7DW4ijH3n36QN0RlC0n649,Angeline Quinto,6WZCRXZlzL12YHZKC5xAkD,238933,2012-03-25,0,0.388,0.475,7,-8.222,1,0.0391,0.287,0.0,0.141,0.166,171.978,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
4kG2BTaz7cZEpt2qK8doYH,Jealous,2tQbSWgZLIB8MXMnsXVRro,Nina,6xN075I3XzG40aEOzWXERj,255213,2002-08-05,53,0.711,0.36,11,-11.237,0,0.0331,0.385,9.82e-06,0.111,0.381,127.928,61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs
